subj,metad,metad_3%,metad_97%,metad_eff,metad_MLE,m_ratio
s01,0.052,-0.285,0.421,0.045044864804515014,0.06781018362661574,0.05911685143785249
s02,0.778,0.402,1.142,0.5551413857135999,0.9049982954670102,0.6390826870848227
s03,0.488,0.166,0.83,0.43383346435654935,0.5852254916806686,0.5343033492585195
s04,1.11,0.783,1.466,0.7384715560324254,1.5297203903430576,1.039442943951436
s05,0.741,0.388,1.133,0.5666610305238863,1.000013264076607,0.7769381349476694
s06,0.878,0.505,1.275,0.6616508956899877,1.1785916149395566,0.8660344253784498
s07,0.864,0.523,1.205,0.46058557126489624,1.059562573708309,0.5658190267212382
s08,1.07,0.677,1.43,0.6706181116196888,1.422766168313164,0.9093101564029032
s09,0.651,0.296,0.997,0.4358815900718731,0.8481308206831177,0.5760388472650753
s10,0.497,0.159,0.813,0.33750258458944254,0.7454672742842929,0.5196038602813905
s11,0.173,-0.134,0.521,0.19521560168587823,,
s12,0.805,0.409,1.184,0.5587528681490536,1.0608053285400239,0.7450086762216771
s13,0.792,0.422,1.152,0.6245158037921893,0.9701413415226343,0.7495103092724811
s14,1.243,0.918,1.618,1.0619821139678214,1.4485293545257598,1.2134411288282292
s15,0.418,0.015,0.769,0.30577266122611796,0.5777276270150946,0.4162688459683841
s16,0.811,0.439,1.157,0.6411782356298164,0.9545221522004063,0.7537275633003699
s17,0.928,0.549,1.278,0.7528460080989369,1.038535460181857,0.853580943736089
s18,0.812,0.476,1.141,0.8083820648837176,0.9707965806881169,0.9301876429709606
s19,0.121,-0.319,0.533,0.11930422106060345,0.38108382993091555,0.3825774837708067
s20,0.867,0.401,1.325,0.7153464016666253,1.0229956081435683,0.5989375802856118
s21,0.557,0.152,0.947,0.38861450041709056,0.7992297206236345,0.5263070599232232
s22,0.812,0.478,1.169,0.8133317143864462,1.1346363621368005,1.1215665761420806
s23,0.595,0.218,0.984,0.495709623273029,0.730533485396732,0.6017882571438895
s24,1.141,0.756,1.493,0.826772578626184,1.4423485117959292,1.0532148930228777
s25,1.581,1.23,1.973,1.1847846726863067,1.7490575354505502,1.3207881289951677
s27,0.331,-0.047,0.739,0.2596659293740656,0.30716622923000236,0.24578073499713607
s28,0.695,0.316,1.064,0.4860044180978599,0.8179894927913998,0.568523593483052
s29,0.453,0.068,0.782,0.32348994397532876,0.6739162224216126,0.4888596276868711
s30,0.751,0.384,1.11,0.5645081121016596,1.1256322556671539,0.8049049532101378
s32,0.987,0.629,1.352,0.8299196374667652,1.1756304456226987,1.0025554026935408
s33,0.476,0.09,0.854,0.32685766274888134,0.5922799020148166,0.41384657558164173
s34,0.073,-0.277,0.421,0.07065667232569692,0.1837145547920137,0.17722518525243042
s35,0.465,0.118,0.839,0.37115014728866097,0.5798192239204097,0.46964853665398193
s36,0.804,0.446,1.176,0.7000179957155206,0.9852895816985229,0.875610749250503
s37,1.002,0.623,1.383,0.768613711876541,1.1016278291975243,0.8629838201641338
s38,0.738,0.388,1.073,0.5304814512440391,0.9042084186841465,0.6474829503213244
s39,0.628,0.256,1.012,0.44938287776632807,0.6803580541317038,0.49603662800056747
